artifact_type;deprecated_artifact;header_file;replacement_artifact;deprecated_in;removal_targeted_in
ITK function;SPR0PhysicalPartRevisionSetPropertiesFromSaveAsInputPostAction;serviceprocessing/serviceprocessing.h;SERVICEPROCESSING_set_properties_from_save_as;11. Feb;2712
ITK function;STRNG_to_upper;fclasses/tc_string.h;STRNG_to_upper2;10.01.2007;2712
Macro;TCTYPE_create_msg;tccore/tctype_msg.h;No replacement;08. Mrz;2712
Macro;TCTYPE_createprops_msg;tccore/tctype_msg.h;No replacement;08. Mrz;2712
Macro;TCTYPE_init_user_props_msg;tccore/tctype_msg.h;No replacement;08. Mrz;2712
Macro;TCTYPE_viewerprops_msg;tccore/tctype_msg.h;No replacement;08. Mrz;2712
Macro;TC_free_text;textsrv/textserver.h;MEM_free;10.01.2003;2712
ITK function;TC_hier_text;textsrv/textserver.h;No replacement;10.01.2003;2712
Macro;TC_include_dispatcher_ets_errors_h_deprecated;ets/ets_errors.h;dispatcher/dispatcher_errors.h;tc2008;2712
Macro;TC_include_dispatcher_ets_h_deprecated;ets/ets.h;dispatcher/dispatcher_itk.h;tc2008;2712
Macro;TC_include_dispatcher_ets_user_exits_h_deprecated;ets_user_exits/ets_user_exits.h;No replacement;tc2008;2712
Macro;TC_include_dispatcher_etstranslationrequest_h_deprecated;ets/etstranslationrequest.h;No replacement;tc2008;2712
ITK function;TC_print_dll_versions;tc/tc_util.h;SS_print_dll_versions;2406;2712
Macro;TIE_problem_running_ugclone;tie/tie_errors.h;TIE_problem_running_import_utility;11.02.2002;2712
Macro;TL_both_released;tccore/tracelink_errors.h;TL_both_baselined;12. Feb;2712
Macro;TL_primary_released;tccore/tracelink_errors.h;TL_primary_baselined;12. Feb;2712
Macro;TL_secondary_released;tccore/tracelink_errors.h;TL_secondary_baselined;12. Feb;2712
API;Teamcenter::Awb0Element::getAwb0IsStructModifiable;awb0occmgmt/Awb0ElementDelegate.hxx;This operation is deprecated Active Workspace 3.2 onwards.;ActiveWorkspace3.2;2712
API;Teamcenter::BulkInput::fnd0Copy;metaframework/BulkSaveInputDelegate.hxx;Users have to use fnd0GetCopy instead of fnd0Copy;11.02.2003;2712
API;Teamcenter::Cfg0configurator::Cfg0AbsProductLine::getCfg0Characterstics;Cfg0configurator/Cfg0AbsProductLineDelegate.hxx;"Deprecated. See Support Announcement ""getCfg0Characterstics Command Deprecated"" in the Teamcenter 12.3 README.";12. Mrz;2712
API;Teamcenter::Cfg0configurator::Cfg0AbsProductModel::getCfg0Characterstics;Cfg0configurator/Cfg0AbsProductModelDelegate.hxx;"deprecated. See Support Announcement ""getCfg0Characterstics Command Deprecated"" in the Teamcenter 12.3 README.";12. Mrz;2712
API;Teamcenter::Cfg0configurator::Cfg0AbsSumModelFamilyThread::getCfg0SummarizedModelFamily;Cfg0configurator/Cfg0AbsSumModelFamilyThreadDelegate.hxx;This property is deprecated Teamcenter 10.1.3 onwards and will be removed in Teamcenter 11.1. Please do not use this property.;10.01.2003;2712
API;Teamcenter::Fnd0AbstractOccRevision::setFnd0EffectivityFormula;ps/Fnd0AbstractOccRevisionDelegate.hxx;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512. This property is only used for expression effectivity authoring and being deprecated with expression effectivity functionality;2512;2912
API;Teamcenter::Logging::Logger::note;mld/logging/Logger.hxx;No replacement;11. Apr;2712
API;Teamcenter::PSBOMViewRevision::fnd0Save;ps/PSBOMViewRevisionDelegate.hxx;The operation is deprecated as of TC2506. To attach any pre/post extensions they should be attached to TC_save_msg or to fnd0Save (Bulk Save) operation.;2506;2712
API;Teamcenter::systemsengineering::Seg0IntfSpecRevision::seg0GetSeg0InterfaceElements;systemsengineering/Seg0IntfSpecRevisionDelegate.hxx;Deprecated. See Support Announcement 2312.;2312;2712
ITK function;WEB_RDV_decodeGetQPLScheme;rdv/rdv.h;No replacement;2312;2712
ITK function;WEB_RDV_executeQPLFilter;rdv/rdv.h;No replacement;2312;2712
ITK function;WEB_RDV_getExecuteQPLFilterCount;rdv/rdv.h;No replacement;2312;2712
ITK function;WEB_RDV_getQPLBuilds;rdv/rdv.h;No replacement;2312;2712
API;attr_id;property/legacy_counter.h;No replacement;2606;2912
