aw_release;category;area;topic;feature
2606;Plan;Process;Workflow - AI;Quickly assign tasks with AI recommendations for users, groups, and roles
2606;Plan;Process;Workflow;Create and manage global workflow task assignment rules
2606;Plan;Process;Workflow;Intuitively assign tasks based on staffing roles with an assignment rule
2606;Plan;Requirements;Requirements Management;Enable test reports for requirements and efficiently bulk-create tracelinks
2606;Plan;Requirements;Requirements Management;Improve ReqlF user experience with Active Workspace embedded integration
2606;Plan;Requirements;Requirements Management - AI;Improvements to the Requirement Conformance AI’s user interface
2606;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Reuse elements of managed system model libraries in Rhapsody, SMW and Cameo
2606;Plan;Systems;MBSE - System Verification and Model Management;Create new KPI-driven parameters with units aligned to the KPI​
2606;Plan;Systems;MBSE - System Verification and Model Management;Export test status reports from requirements and tests to Word
2606;Plan;Systems;MBSE - System Verification and Model Management;Quickly navigate and visualize large scale relationships for comprehensive impact analysis
