service_library;service;deprecated_operation;description;deprecated_in;removal_targeted_in
Rv1SoaRelationshipviewer;Networkengine;Rv1::Services::Relationshipviewer::_2012_10::Networkengine::createRelations;This SOA was added in Tc9 timeframe purpose to support authoring relations in the Relation Browser but later RB functionality was confined to the rendering of relations  use Teamcenter::Soa::Core::DataManagement::createRelations instead.;2506;2712
Rv1SoaRelationshipviewer;Networkengine;Rv1::Services::Relationshipviewer::_2012_10::Networkengine::getViews;Use getViews3 instead;10.01.2002;2712
Rv1SoaRelationshipviewer;Networkengine;Rv1::Services::Relationshipviewer::_2012_10::Networkengine::getViews2;Use getViews3 instead;10.01.2002;2712
Rv1SoaRelationshipviewer;Networkengine;Rv1::Services::Relationshipviewer::_2012_10::Networkengine::queryNetwork;This operation is being deprecated  use queryNetwork2 instead.;2506;2712
Rv1SoaRelationshipviewer;Networkengine;Rv1::Services::Relationshipviewer::_2014_11::Networkengine::getViews3;Use getViews4 instead;ActiveWorkspace4.3;2712
Rv1SoaRelationshipviewer;Networkengine;Rv1::Services::Relationshipviewer::_2019_12::Networkengine::getViews4;use getViews5 instead;2312;2712
Saw1SoaProjectmanagementaw;Schedulemanagementaw;Saw1::Services::Projectmanagementaw::_2016_12::Schedulemanagementaw::loadSchedule;This operation is replaced by Saw1::Soa::ProjectManagementAw::_2018_12::loadSchedule2.;ActiveWorkspace4.1;2712
Sci0SoaImdsintegration;Imdsintegration;Sci0::Services::Imdsintegration::_2013_05::Imdsintegration::retrieveIMDSData;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.;2512;2912
Sci0SoaImdsintegration;Imdsintegration;Sci0::Services::Imdsintegration::_2013_05::Imdsintegration::sendDataToIMDS;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.;2512;2912
Sci0SoaImdsintegration;Imdsintegration;Sci0::Services::Imdsintegration::_2016_09::Imdsintegration::getApplicableIMDSUploadActions;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.;2512;2912
Sci0SoaImdsintegration;Imdsintegration;Sci0::Services::Imdsintegration::_2016_09::Imdsintegration::sendDataToIMDS;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.;2512;2912
Sci1SoaImdsintegrationaw;Imdsintegration;Sci1::Services::Imdsintegrationaw::_2018_05::Imdsintegration::findOrCreateAssociatedExchangeRev;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.;2512;2912
Sci1SoaImdsintegrationaw;Imdsintegration;Sci1::Services::Imdsintegrationaw::_2022_06::Imdsintegration::sendDataToIMDS;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.;2512;2912
Smc0SoaStructuremanagement;Solutionvariantmanagement;Smc0::Services::Structuremanagement::_2018_11::Solutionvariantmanagement::compareManagedSolutionVariantItems;We do not support passing individual Revision Rule and Variant Rule input for comparing a Managed Solution Variant via compareManagedSolutionVariantItems.  Use compareManagedSolutionVariantItems2 instead.;2606;2912
Smc0SoaStructuremanagement;Solutionvariantmanagement;Smc0::Services::Structuremanagement::_2018_11::Solutionvariantmanagement::updateManagedSolutionVariantItems;We do not support passing individual Revision Rule and Variant Rule input for updating a Managed Solution Variant via updateManagedSolutionVariantItems.  Use updateManagedSolutionVariantItems2 instead.;2606;2912
